''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''<small>to</small> burn''  –  '''se fagri'''

''<small>to</small> burp''  –  '''kafke'''

''<small>to</small> burst into''  –  '''spoja'''

''bus''  –  '''lo aftobuso'''

''business (activity)''  –  '''lo cuntu'''

''business (commercial activity)''  –  '''lo te kagni'''

''business (company)''  –  '''lo kagni'''

''busy''  –  '''lo zukcfu'''

''but''  –  '''ku&apos;i'''

''butter''  –  '''lo matne'''

''butterfly''  –  '''lo toldi'''

''buttocks''  –  '''lo zargu'''

''button''  –  '''lo batke'''

''by (instrument)''  –  '''se pi&apos;o'''

''by ... (alongside)''  –  '''zo&apos;a'''

''by default''  –  '''na&apos;o'''

''by method ...''  –  '''ta&apos;i'''

''by the way''  –  '''ta&apos;o'''

''bye!''  –  '''co&apos;o'''

''C (hex digit)''  –  '''gai'''

''c (letter)''  –  '''cy'''

''cabbage''  –  '''lo kobli'''

''cabin of a vehicle''  –  '''lo sabnu'''

''cable''  –  '''lo skori'''

''cake''  –  '''lo torta'''

''California''  –  '''la kaliforni&apos;as'''

''<small>to</small> call (on the phone)''  –  '''jorne'''

''<small>to</small> call (to name)''  –  '''te cmene'''

''calm''  –  '''lo tolxanka'''

''calm situation''  –  '''lo se tolxanka'''

''camel''  –  '''lo kumte'''

''camera''  –  '''lo kacma'''

''camp''  –  '''lo ginka'''

''camper''  –  '''lo se ginka'''

''can''  –  '''lo lante'''

''can (to be able)''  –  '''kakne'''

''canal''  –  '''lo naxle'''

''cancer''  –  '''lo kenra'''

''<small>something</small> canned''  –  '''lo se lante'''

